                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.64909,                 1.2394,                 1.2211,                0.67466,                0.46913,                0.54594,                0.44475,                0.62533,                 1.2815,                 1.1602,               0.005974,               0.005974,               0.005974
                    125,                0.65048,                 1.2531,                 1.2292,                0.64103,                0.48899,                0.53315,                 0.4347,                0.62994,                 1.2982,                  1.165,               0.005941,               0.005941,               0.005941
                    126,                0.64638,                 1.2278,                 1.2199,                0.67363,                0.47358,                0.55082,                0.45498,                0.62116,                 1.2941,                 1.1576,               0.005908,               0.005908,               0.005908
                    127,                0.64225,                 1.2277,                 1.2166,                0.71349,                0.45344,                0.52782,                0.43562,                0.63948,                 1.2873,                  1.172,               0.005875,               0.005875,               0.005875
                    128,                0.63824,                 1.2081,                  1.208,                 0.6715,                0.46089,                0.53416,                0.44207,                0.63426,                 1.2838,                 1.1704,               0.005842,               0.005842,               0.005842
                    129,                0.64572,                 1.2389,                 1.2215,                0.67699,                0.47558,                0.54832,                0.44568,                0.63382,                 1.2735,                 1.1702,               0.005809,               0.005809,               0.005809
                    130,                0.63011,                 1.1878,                 1.2045,                0.67649,                0.48901,                0.53211,                0.43597,                0.63458,                 1.2861,                   1.17,               0.005776,               0.005776,               0.005776
                    131,                0.63185,                  1.191,                 1.2084,                0.66475,                0.48372,                0.54274,                0.44102,                0.64604,                 1.2799,                 1.1773,               0.005743,               0.005743,               0.005743
                    132,                 0.6365,                  1.195,                 1.2134,                0.63456,                  0.503,                0.54324,                0.44589,                0.63594,                 1.2675,                 1.1755,                0.00571,                0.00571,                0.00571
                    133,                0.63259,                 1.1914,                   1.21,                0.67528,                0.47437,                0.54086,                0.44574,                 0.6335,                 1.2613,                 1.1731,               0.005677,               0.005677,               0.005677
                    134,                0.64084,                 1.1839,                 1.2142,                0.71772,                0.46838,                0.53836,                0.44262,                 0.6226,                 1.2498,                 1.1635,               0.005644,               0.005644,               0.005644
                    135,                0.62039,                 1.1495,                 1.1991,                 0.6935,                0.47811,                0.54046,                 0.4483,                0.61449,                 1.2473,                 1.1539,               0.005611,               0.005611,               0.005611
                    136,                 0.6295,                   1.17,                 1.2015,                0.67866,                0.48054,                 0.5514,                0.45086,                0.61634,                 1.2487,                  1.153,               0.005578,               0.005578,               0.005578
                    137,                0.62025,                 1.1555,                 1.1972,                0.63259,                0.48974,                0.54494,                0.44903,                0.61263,                 1.2761,                  1.154,               0.005545,               0.005545,               0.005545
                    138,                0.62248,                 1.1543,                 1.1999,                0.66394,                0.48668,                0.54388,                 0.4501,                0.61952,                  1.273,                 1.1578,               0.005512,               0.005512,               0.005512
                    139,                0.61935,                 1.1406,                 1.1971,                0.66162,                0.48917,                 0.5459,                0.45197,                0.61601,                 1.2521,                 1.1575,               0.005479,               0.005479,               0.005479
                    140,                0.61424,                 1.1284,                 1.1881,                0.65789,                0.48064,                0.53755,                0.44199,                0.61227,                 1.2578,                  1.153,               0.005446,               0.005446,               0.005446
                    141,                0.61777,                 1.1368,                 1.1918,                0.73365,                0.46786,                0.54435,                 0.4486,                0.61313,                 1.2561,                 1.1541,               0.005413,               0.005413,               0.005413
                    142,                0.61179,                 1.1086,                 1.1865,                0.59964,                 0.5103,                0.54736,                0.45036,                0.61865,                 1.2744,                 1.1599,                0.00538,                0.00538,                0.00538
                    143,                0.61391,                 1.1177,                 1.1946,                0.71257,                0.48556,                0.54302,                0.44614,                0.62325,                 1.2817,                 1.1681,               0.005347,               0.005347,               0.005347
                    144,                0.61554,                  1.094,                 1.1893,                0.64455,                0.48931,                0.54712,                0.44722,                0.63223,                 1.2933,                 1.1724,               0.005314,               0.005314,               0.005314
                    145,                0.61309,                 1.1046,                 1.1925,                0.73192,                0.48407,                0.54988,                0.45206,                0.63542,                  1.274,                 1.1676,               0.005281,               0.005281,               0.005281
                    146,                0.60856,                 1.0892,                 1.1864,                0.65976,                 0.4981,                0.54955,                 0.4538,                0.62894,                 1.2714,                 1.1615,               0.005248,               0.005248,               0.005248
                    147,                0.60682,                 1.0894,                 1.1861,                0.71229,                0.49187,                0.55232,                0.45674,                0.62777,                 1.2673,                  1.159,               0.005215,               0.005215,               0.005215
                    148,                0.59901,                 1.0933,                 1.1765,                0.60944,                0.50626,                0.55532,                0.45748,                0.63232,                 1.2639,                 1.1665,               0.005182,               0.005182,               0.005182
                    149,                  0.609,                 1.1087,                  1.188,                0.63996,                0.51686,                0.55674,                0.46001,                0.61831,                 1.2624,                 1.1568,               0.005149,               0.005149,               0.005149
                    150,                0.59752,                  1.079,                 1.1795,                0.55534,                0.52985,                0.55281,                0.45698,                0.61816,                  1.268,                 1.1558,               0.005116,               0.005116,               0.005116
                    151,                0.59656,                 1.0651,                  1.177,                0.58099,                0.52885,                0.54851,                0.45341,                0.61647,                 1.2633,                 1.1501,               0.005083,               0.005083,               0.005083
                    152,                0.60458,                 1.0838,                 1.1813,                0.70978,                 0.4978,                0.55174,                0.45577,                0.61486,                  1.258,                 1.1402,                0.00505,                0.00505,                0.00505
                    153,                0.59918,                 1.0677,                  1.178,                0.72314,                0.49141,                0.54774,                0.45111,                0.61902,                 1.2503,                 1.1438,               0.005017,               0.005017,               0.005017
                    154,                0.60292,                 1.0752,                 1.1815,                0.67272,                0.51918,                0.54603,                0.44988,                0.61856,                  1.256,                 1.1452,               0.004984,               0.004984,               0.004984
                    155,                0.58394,                 1.0623,                 1.1697,                0.73523,                0.48518,                0.54589,                0.45241,                0.62833,                 1.2703,                 1.1539,               0.004951,               0.004951,               0.004951
