                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    143,                0.56078,                 0.8631,                 1.1307,                0.77558,                0.47627,                 0.5373,                0.44601,                0.63152,                 1.2839,                 1.1708,               0.005347,               0.005347,               0.005347
                    144,                0.56801,                0.86729,                 1.1317,                0.66857,                0.49687,                0.53961,                0.44314,                0.64418,                 1.2957,                 1.1827,               0.005314,               0.005314,               0.005314
                    145,                0.56143,                0.85323,                 1.1276,                0.77329,                0.47928,                0.54106,                0.44833,                0.63773,                 1.2743,                 1.1823,               0.005281,               0.005281,               0.005281
                    146,                0.56018,                0.86408,                 1.1348,                0.74178,                0.48373,                0.54391,                 0.4504,                0.64267,                 1.2729,                 1.1896,               0.005248,               0.005248,               0.005248
                    147,                0.56291,                0.85344,                 1.1301,                0.77012,                0.46682,                0.53672,                0.44443,                0.63828,                 1.2842,                 1.1815,               0.005215,               0.005215,               0.005215
                    148,                0.55464,                0.83398,                 1.1253,                0.63949,                0.50289,                0.53933,                0.44736,                0.62854,                  1.281,                 1.1746,               0.005182,               0.005182,               0.005182
                    149,                0.54874,                0.82361,                 1.1237,                0.68932,                0.50459,                0.54289,                 0.4498,                0.62486,                 1.2719,                 1.1674,               0.005149,               0.005149,               0.005149
                    150,                0.55699,                 0.8434,                 1.1311,                0.69466,                0.51914,                0.54717,                 0.4539,                0.63103,                 1.2823,                 1.1746,               0.005116,               0.005116,               0.005116
                    151,                0.55588,                0.83263,                 1.1285,                0.65203,                0.51371,                0.53742,                0.44962,                0.63017,                 1.2954,                 1.1768,               0.005083,               0.005083,               0.005083
                    152,                0.55862,                 0.8335,                 1.1274,                0.68383,                0.49539,                 0.5378,                 0.4455,                0.63684,                 1.2912,                 1.1803,                0.00505,                0.00505,                0.00505
                    153,                0.54686,                0.80744,                 1.1186,                0.73359,                0.50242,                0.54848,                0.45444,                0.63749,                 1.2873,                 1.1764,               0.005017,               0.005017,               0.005017
                    154,                0.54219,                0.82035,                 1.1184,                  0.745,                0.51157,                0.54319,                0.44866,                0.64121,                 1.2793,                 1.1869,               0.004984,               0.004984,               0.004984
                    155,                0.54482,                0.80571,                 1.1155,                0.74681,                0.52153,                0.54767,                0.45461,                0.63825,                 1.2675,                 1.1825,               0.004951,               0.004951,               0.004951
                    156,                0.53868,                0.80738,                 1.1145,                0.74705,                0.51233,                 0.5541,                0.45766,                0.63293,                 1.2675,                 1.1777,               0.004918,               0.004918,               0.004918
